"Team","Rating","Change Over Week","Change Over Season","Pts. Favored Against Avg. Opp.","Win Division %","Win WC %","Make Playoffs %"
"Los Angeles Rams",11.9,0,1.7,7,0.816,0.087,0.903
"New Orleans Saints",10.1,0.6,0.1,3.7,0.4625,0.19,0.6525
"Kansas City Chiefs",9.9,0.2,1.1,3.4,0.691,0.13,0.821
"New England Patriots",9.9,1,-0.2,3.3,0.6365,0.068,0.7045
"Philadelphia Eagles",9.7,-0.2,-0.7,3.1,0.381,0.114,0.495
"Baltimore Ravens",9.6,0.6,2,2.8,0.4885,0.1945,0.683
"Jacksonville Jaguars",9.5,0.5,0.8,2.7,0.4755,0.202,0.6775
"Carolina Panthers",9.2,0.2,0.2,2.1,0.339,0.186,0.525
"Green Bay Packers",9.2,0.6,-0.3,2.2,0.3075,0.2205,0.528
"Pittsburgh Steelers",9.1,-0.6,-1.1,2,0.1615,0.1595,0.321
"Minnesota Vikings",8.9,0,-1.2,1.6,0.1995,0.141,0.3405
"Chicago Bears",8.8,1.5,2,1.4,0.412,0.177,0.589
"Atlanta Falcons",8.6,-0.3,-0.4,1,0.106,0.1155,0.2215
"Seattle Seahawks",8.4,0,-0.1,0.8,0.114,0.2185,0.3325
"Los Angeles Chargers",8.2,-0.1,-0.4,0.4,0.1475,0.244,0.3915
"Washington Redskins",8.2,0.6,0.6,0.3,0.292,0.126,0.418
"Dallas Cowboys",8.1,-0.1,-0.6,0.2,0.2475,0.091,0.3385
"Tennessee Titans",8.1,0.2,0.2,0.1,0.374,0.198,0.572
"San Francisco 49ers",7.9,0.1,-0.4,-0.2,0.068,0.144,0.212
"Cincinnati Bengals",7.5,0.3,1.1,-1,0.296,0.212,0.508
"Detroit Lions",7.4,0.1,-0.6,-1,0.081,0.0495,0.1305
"Houston Texans",7.3,0.2,-0.1,-1.2,0.09,0.1025,0.1925
"New York Giants",7,-0.6,-0.5,-1.8,0.0795,0.0445,0.124
"Denver Broncos",6.7,-0.3,-0.3,-2.4,0.125,0.127,0.252
"Indianapolis Colts",6.5,-0.2,0.2,-2.7,0.0605,0.0495,0.11
"Tampa Bay Buccaneers",6.5,-1.5,-0.6,-2.6,0.0925,0.0885,0.181
"Cleveland Browns",6.4,0,0.5,-3,0.054,0.066,0.12
"Oakland Raiders",6.3,0,-0.7,-3,0.0365,0.054,0.0905
"Miami Dolphins",6.1,-1,0,-3.5,0.215,0.1375,0.3525
"New York Jets",6,-0.5,0.5,-3.5,0.075,0.033,0.108
"Buffalo Bills",5.2,-0.6,-1.1,-5,0.0735,0.0225,0.096
"Arizona Cardinals",4.9,0,-1.6,-5.5,0.002,0.007,0.009
